trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	100	null	userbased	pearson	adjusted	null	null	0.8662654851661923	6.75884
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	100	null	userbased	pearson	adjweighted	null	null	0.8663229197727963	6.751766
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	200	null	userbased	cosine	weighted	null	null	0.8814363761442623	6.785919
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	200	null	userbased	cosine	adjusted	null	null	0.862066582032713	6.935285
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	200	null	userbased	cosine	adjweighted	null	null	0.8622077779923257	6.91283
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	200	null	userbased	pearson	weighted	null	null	0.8713090659397101	7.590649
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	200	null	userbased	pearson	adjusted	null	null	0.8478164885809347	7.502574
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	200	null	userbased	pearson	adjweighted	null	null	0.8498761012376463	7.286958
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	500	null	userbased	cosine	weighted	null	null	0.8435166577701559	8.111393
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	500	null	userbased	cosine	adjusted	null	null	0.8195198604727234	8.257235
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	500	null	userbased	cosine	adjweighted	null	null	0.8205976476698896	7.775013
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	500	null	userbased	pearson	weighted	null	null	0.8328341819289272	8.014922
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	500	null	userbased	pearson	adjusted	null	null	0.8029507082994178	8.234082
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	500	null	userbased	pearson	adjweighted	null	null	0.8107830238035671	8.723901
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1000	null	userbased	cosine	weighted	null	null	0.8173315707982506	9.739293
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1000	null	userbased	cosine	adjusted	null	null	0.7936026865076449	9.795204
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1000	null	userbased	cosine	adjweighted	null	null	0.7941254904534774	9.681607
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1000	null	userbased	pearson	weighted	null	null	0.8325692343367151	10.831687
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1000	null	userbased	pearson	adjusted	null	null	0.8008230811443774	10.350018
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1000	null	userbased	pearson	adjweighted	null	null	0.8103666329087703	10.712628
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1500	null	userbased	cosine	weighted	null	null	0.8156950330448327	11.637028
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1500	null	userbased	cosine	adjusted	null	null	0.7919732374451361	11.40979
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1500	null	userbased	cosine	adjweighted	null	null	0.7931334958256915	11.573009
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1500	null	userbased	pearson	weighted	null	null	0.8325692343367151	11.412603
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1500	null	userbased	pearson	adjusted	null	null	0.7963937322547551	12.192386
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	1500	null	userbased	pearson	adjweighted	null	null	0.8103666329087703	12.034077
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2000	null	userbased	cosine	weighted	null	null	0.8156916355718986	13.798622
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2000	null	userbased	cosine	adjusted	null	null	0.7916442835515127	13.520347
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2000	null	userbased	cosine	adjweighted	null	null	0.7931338754855298	13.270682
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2000	null	userbased	pearson	weighted	null	null	0.8325692343367151	13.329461
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2000	null	userbased	pearson	adjusted	null	null	0.7916442835515127	13.538989
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	size	2000	null	userbased	pearson	adjweighted	null	null	0.8103666329087703	13.48177
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.0	userbased	cosine	weighted	null	null	0.8156916355718986	11.392733
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.0	userbased	cosine	adjusted	null	null	0.7916442835515127	11.413332
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.7931338754855298	11.414622
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.0	userbased	pearson	weighted	null	null	0.8325692343367151	10.466867
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.0	userbased	pearson	adjusted	null	null	0.7995202588684722	10.381309
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.0	userbased	pearson	adjweighted	null	null	0.8103666329087702	10.31637
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.1	userbased	cosine	weighted	null	null	0.8156916355718986	8.452565
