trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
1_3.base	1_3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.555279068156771	0.204813
1_3.base	1_3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.6306578395809851	0.133412
1_3.base	1_3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.4020808341947332	4.126469
1_3.base	1_3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.4020808341947332	4.085619
1_3.base	1_3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.4	0.4020808341947332	4.098994
1_3.base	1_3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.6	0.4020808341947332	4.000232
1_3.base	1_3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.8	0.402081800368249	4.019315
1_3.base	1_3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	1.0	0.5877033617815495	2.625734
1_4.base	1_4.test	threshold	null	0.0	userbased	cosine	adjweighted	null	null	0.3683037777444407	6.26823
1_4.base	1_4.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.3683037777444407	5.942769
1_4.base	1_4.test	threshold	null	0.4	userbased	cosine	adjweighted	null	null	0.3683037777444407	6.032966
1_4.base	1_4.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.3683037777444407	6.094665
1_4.base	1_4.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.3683036824556463	6.071877
1_4.base	1_4.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	0.5271807816588954	3.269378
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.0	0.5490943631878203	0.211102
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.5490943631878203	0.202623
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.4	0.5490943631878203	0.20328
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.6	0.5490943631878203	0.202556
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.5490943631878203	0.202435
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.6247088020233332	0.133109
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.4012971280310258	4.07495
1_4.base	1_4.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.4012971280310258	4.003592
