trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_4	0.3	0.8701322180626333	89.806302
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_4	0.4	0.8701322180626333	89.888399
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_4	0.5	0.8701322180626333	89.219744
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_4	0.6	0.8701416357548752	89.594766
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_4	0.7	0.8701372478746919	88.634079
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_4	0.8	0.8701425548732071	89.535345
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_4	0.9	0.8700495499545498	90.178188
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_4	1.0	0.8693720744024754	89.28723
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.0	0.8725445228821161	140.548653
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.1	0.8725445228821161	119.72995
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.2	0.8725445228821161	119.498472
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.3	0.8725445228821161	119.696006
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.4	0.8725445228821161	123.623156
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.5	0.8725445228821161	124.15034
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.6	0.8725539145377503	132.796477
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.7	0.8725493993471616	121.501567
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.8	0.8725403378952109	122.311942
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	0.9	0.8723733815877341	123.584618
0.1_set1.base	0.1_set1.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_5	1.0	0.8714854066624609	125.997028
0.1_set2.base	0.1_set2.test	social	null	null	socialuser	cosine	adjweighted	friends_1	null	0.8502192251693713	0.291179
0.1_set2.base	0.1_set2.test	social	null	null	socialuser	cosine	adjweighted	friends_2	null	0.8633285195670701	2.992587
0.1_set2.base	0.1_set2.test	social	null	null	socialuser	cosine	adjweighted	friends_3	null	0.8764675618148273	32.357213
0.1_set2.base	0.1_set2.test	social	null	null	socialuser	cosine	adjweighted	friends_4	null	0.8835638512689518	108.610219
0.1_set2.base	0.1_set2.test	social	null	null	socialuser	cosine	adjweighted	friends_5	null	0.8844208784227104	146.618001
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.0	0.8502192251693713	0.249438
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.1	0.8502192251693713	0.131432
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.8502192251693713	0.167493
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.3	0.8502192251693713	0.163105
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.4	0.8502192251693713	0.132051
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.5	0.8502229291470726	0.163787
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.6	0.8502234298988536	0.132367
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.7	0.8502234298988536	0.165027
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.8502234298988536	0.130912
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.9	0.850177334879175	0.193955
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	1.0	0.850883069196972	0.130738
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.0	0.8633285195670701	3.090345
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.1	0.8633285195670701	1.070075
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.8633285195670701	1.071872
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.3	0.8633285195670701	1.099349
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.4	0.8633285195670701	1.074318
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.5	0.8633321673016077	1.130895
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.6	0.8633304582098497	1.145267
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.7	0.8632694399890847	1.107
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.8	0.8632011942985589	1.064418
