trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
0.1_set1.base	0.1_set1.test	size	500	null	userbased	cosine	adjusted	null	null	0.8816578962816045	5.305978
0.1_set1.base	0.1_set1.test	size	500	null	userbased	cosine	adjweighted	null	null	0.8751636212460606	5.33617
0.1_set1.base	0.1_set1.test	size	500	null	userbased	pearson	weighted	null	null	0.8768170886951147	5.473734
0.1_set1.base	0.1_set1.test	size	500	null	userbased	pearson	adjusted	null	null	0.88150430435645	5.314569
0.1_set1.base	0.1_set1.test	size	500	null	userbased	pearson	adjweighted	null	null	0.8696084500757065	5.378582
0.1_set1.base	0.1_set1.test	size	1000	null	userbased	cosine	weighted	null	null	0.8822143544223758	10.018662
0.1_set1.base	0.1_set1.test	size	1000	null	userbased	cosine	adjusted	null	null	0.8796354299015785	10.098073
0.1_set1.base	0.1_set1.test	size	1000	null	userbased	cosine	adjweighted	null	null	0.8751636212460606	10.154751
0.1_set1.base	0.1_set1.test	size	1000	null	userbased	pearson	weighted	null	null	0.8768170886951147	10.176868
0.1_set1.base	0.1_set1.test	size	1000	null	userbased	pearson	adjusted	null	null	0.8803104404771668	10.113854
0.1_set1.base	0.1_set1.test	size	1000	null	userbased	pearson	adjweighted	null	null	0.8696084500757065	10.013293
0.1_set1.base	0.1_set1.test	size	1500	null	userbased	cosine	weighted	null	null	0.8822143544223758	14.35638
0.1_set1.base	0.1_set1.test	size	1500	null	userbased	cosine	adjusted	null	null	0.8736117637685075	14.713669
0.1_set1.base	0.1_set1.test	size	1500	null	userbased	cosine	adjweighted	null	null	0.8751636212460606	14.531126
0.1_set1.base	0.1_set1.test	size	1500	null	userbased	pearson	weighted	null	null	0.8768170886951147	14.696452
0.1_set1.base	0.1_set1.test	size	1500	null	userbased	pearson	adjusted	null	null	0.8741819999505662	14.440768
0.1_set1.base	0.1_set1.test	size	1500	null	userbased	pearson	adjweighted	null	null	0.8696084500757065	14.662353
0.1_set1.base	0.1_set1.test	size	2000	null	userbased	cosine	weighted	null	null	0.8822143544223758	18.198033
0.1_set1.base	0.1_set1.test	size	2000	null	userbased	cosine	adjusted	null	null	0.8711268908473058	18.188072
