Inf	Com	Net
0.5433635414953925	0.6442148682463156	0.4908881122881278
0.6053493042555546	0.6422347451592479	0.49072637230152033
0.623581698813739	0.6409025666234267	0.4906955621217708
0.6315699776406782	0.6398593112164528	0.4907000816839919
0.6235318030159592	0.6393242546057991	0.4908193272273746
0.6368622859310968	0.6394134589238966	0.4905337082876861
0.644288756991561	0.6386358715099023	0.4900589370732942
0.6530455406261108	0.6395306356865839	0.48988440616092
0.6485728665171994	0.6394846508634012	0.4899476070750743
0.65346440670709	0.6387542426862971	0.48972341368106437
0.6506154452163175	0.6383241514052016	0.48956234656559583
0.655788872059344	0.6383630008819976	0.48934714905083365
0.6585096498693053	0.6388289769566774	0.4892180477584197
0.6556128026565645	0.6388251193908762	0.48877967470660305
0.6573660184463513	0.6386259784380067	0.4885097635387942
0.652487364480713	0.6391123109760621	0.4886754799231054
0.6430298403732241	0.6394193576926529	0.4886303975402245
0.6499848372820264	0.638482966529406	0.48809158546936443
0.6494343182270511	0.638830079181088	0.48815899844227933
0.6386090852273325	0.6390356794840316	0.48808516373321176
0.6426942548878806	0.638565814157823	0.4878041016078995
0.6440162115162974	0.6380022804180333	0.4874633149851734
0.6442454384984613	0.637630850221326	0.48712205540161163
0.6500481035758481	0.6368868577391673	0.4866223383224275
0.652745505048861	0.6367215051862851	0.48643534553630735
0.6464248312351513	0.6373263807837971	0.4864642000279061
0.6503318847515791	0.6373420011187307	0.4866259116949022
0.6505310126481422	0.6371410309149219	0.48662484885970025
0.6522570680506994	0.6371683031466006	0.4863272839342152
0.6546872450351195	0.6370739482778716	0.4860750561382977
0.6542799252534633	0.6369241799505769	0.48575052841483113
0.6488393327925156	0.6375172782874133	0.4861874499762565
0.6528953336080137	0.6375119484227351	0.48592137061034707
0.6530777869881633	0.6375358758320651	0.4860970747264126
0.6482567926156245	0.6377807409247418	0.48633655930685854
0.6491399866648264	0.6384017554295359	0.48657596760406446
0.6464596407732325	0.6386921597762196	0.48626833873698533
0.6478675101217499	0.6390054765894312	0.4865019812958111
0.6482706439102678	0.63932558173993	0.486557101677678
0.6506083440121677	0.6384258053373673	0.48599014315204064
0.6515265285569293	0.638646429433657	0.48599925019183904
0.6524075159792108	0.6398716077838508	0.4862521346485966
0.6504944645408167	0.6408024263445972	0.4865436457774214
0.6526449223474916	0.6404052916203749	0.48612663351200225
0.6530314109310222	0.6403274445012077	0.48611237014426345
0.6525734909008502	0.6407531119392735	0.48617542522717944
0.6508902084463464	0.6414393795639327	0.4864706671802439
0.6465372100197342	0.6418780953601475	0.486768517071066
0.6452216707634472	0.6415624451353474	0.4868434542668537
0.6465034625320175	0.6414913531955202	0.4868466603194506
0.6453886506156593	0.6414207164477952	0.48657813125515553
0.6467441633092896	0.6409747335399704	0.48645256826033556
0.6478864209979253	0.6410993499054536	0.48612739522411014
0.6496577564033806	0.6415315576775366	0.4858337847919427
0.6483901437734614	0.6414550756177442	0.48602623130873496
0.6490864798346838	0.641299743170539	0.4858634596411246
0.6495542548322688	0.6411107459284205	0.4858501226127921
0.6500566639703099	0.6407951461182164	0.4854054978278623
0.6506736448962498	0.6404803947016622	0.4851244008586554
0.6519934737473363	0.640038241429415	0.4849074048084186
0.652443495831719	0.6397399727682317	0.48478589883610723
0.652655093444325	0.6395078801091815	0.4848766502279183
0.6514664161883433	0.6396511947277811	0.4849833195279144
0.6524928880662706	0.6393774597751392	0.48498772574034105
0.650092378518504	0.6396760895446063	0.485102030455139
0.6488027763887152	0.6397216195272061	0.4852014692623226
0.6495367199907118	0.6393832968286154	0.48501397535134244
0.6458672824089351	0.6398227790606655	0.4850248998905014
0.6472728276373391	0.6393167643660895	0.4845246500368837
0.6473350290833157	0.6392682896848106	0.48471796514211657
0.6480419506386872	0.6389038212261161	0.48442499491887353
0.6491962181239128	0.6384491459619209	0.48407025686223365
0.6501555077243886	0.6380314665900576	0.4837978534103502
0.649252727351735	0.6385484627491188	0.48392218648541246
0.6494591415469025	0.6385285705774851	0.4838538037047424
0.6505171640714911	0.638110277996748	0.48344652701363616
0.6514221404771289	0.6378296325437954	0.4830395310999562
0.6510286278025437	0.6377902715207905	0.48317175684974706
0.6507034807876902	0.6375292270603812	0.48313425819735306
0.6517013640883279	0.6370324485641888	0.48282583114585276
0.649426857324929	0.6372924791105273	0.4825899715230729
0.6477927669166452	0.6374990238915826	0.48296339880760053
0.6488874220826829	0.6369152755679085	0.4828148699642329
0.64809827937884	0.6368557422830318	0.4827930951765041
0.6487377427130598	0.6365092062996516	0.4825478398052655
0.6493137782508098	0.6361425173068752	0.4824431296670821
0.6502644115738179	0.6357214851645049	0.482175325936345
0.651079149548597	0.6355061799697393	0.4819177638362261
0.6508352312754029	0.6353059539724553	0.4818043918959047
0.6506208800971318	0.6352335819454166	0.4814559130971365
0.649573334036431	0.6354495885556333	0.4815260210493621
0.6497296910374992	0.6350885449957309	0.48151667197746406
0.6494935168273588	0.6356382221545251	0.4819292495173587
0.6501514772688817	0.6352693393059933	0.48200871957130387
0.6502427670172393	0.6348873015464247	0.48183297223068455
0.6503203714134591	0.6345620534809073	0.4814536612374787
0.6490400629717219	0.6346967291641498	0.4814898629779393
0.6499541455147994	0.6341021176818378	0.4812438265912103
0.649094969910413	0.634069428434885	0.48114340143114387
0.6496448828393172	0.6336857268835108	0.48102624743271744
