trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
0.1_set2.base	0.1_set2.test	threshold	null	0.5	userbased	cosine	centrality2	null	null	0.8901393880677309	3.175109
0.1_set2.base	0.1_set2.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.8862303055247119	1.177011
0.1_set2.base	0.1_set2.test	threshold	null	0.8	userbased	cosine	centrality0	null	null	0.8908325437418008	1.197088
0.1_set2.base	0.1_set2.test	threshold	null	0.8	userbased	cosine	centrality1	null	null	0.8863431112397537	1.430457
0.1_set2.base	0.1_set2.test	threshold	null	0.8	userbased	cosine	centrality2	null	null	0.8900682663856399	3.164462
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.8502192251693713	0.148158
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_1	0.2	0.850182117777787	0.142299
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_1	0.2	0.8502190972569191	0.380422
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_1	0.2	0.8502309058301272	2.107593
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.5	0.8502229291470726	0.134774
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_1	0.5	0.8501859328666408	0.151365
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_1	0.5	0.850222801464344	0.380242
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_1	0.5	0.8502347700349064	2.126245
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.8	0.8502234298988536	0.135403
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_1	0.8	0.8501864336402122	0.148269
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_1	0.8	0.8502233022162001	0.383641
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_1	0.8	0.8502352707797135	2.105156
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.2	0.8633285195670701	1.080688
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_2	0.2	0.8645095277982353	1.086615
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_2	0.2	0.8633285304138408	1.348853
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_2	0.2	0.8668954691156339	3.097639
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.5	0.8633321673016077	1.127659
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_2	0.5	0.8645132796603678	1.107262
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_2	0.5	0.8633321783740191	1.340203
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_2	0.5	0.8668992590380998	3.07938
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_2	0.8	0.8632011942985589	1.103771
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_2	0.8	0.8643979192828339	1.146965
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_2	0.8	0.8632012220738242	1.371038
0.1_set2.base	0.1_set2.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_2	0.8	0.8667878314121554	3.069597
0.1_set3.base	0.1_set3.test	threshold	null	0.2	userbased	cosine	adjweighted	null	null	0.8754453067381615	1.207294
0.1_set3.base	0.1_set3.test	threshold	null	0.2	userbased	cosine	centrality0	null	null	0.8808821165395965	1.214027
0.1_set3.base	0.1_set3.test	threshold	null	0.2	userbased	cosine	centrality1	null	null	0.8759066817076325	1.452509
0.1_set3.base	0.1_set3.test	threshold	null	0.2	userbased	cosine	centrality2	null	null	0.8835789812136288	3.20084
0.1_set3.base	0.1_set3.test	threshold	null	0.5	userbased	cosine	adjweighted	null	null	0.8754518165036796	1.200332
0.1_set3.base	0.1_set3.test	threshold	null	0.5	userbased	cosine	centrality0	null	null	0.8808878527961032	1.235983
0.1_set3.base	0.1_set3.test	threshold	null	0.5	userbased	cosine	centrality1	null	null	0.8759114414620569	1.436862
0.1_set3.base	0.1_set3.test	threshold	null	0.5	userbased	cosine	centrality2	null	null	0.8835839332643766	3.212831
0.1_set3.base	0.1_set3.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.8754188290942712	1.199273
0.1_set3.base	0.1_set3.test	threshold	null	0.8	userbased	cosine	centrality0	null	null	0.8808924178684918	1.226712
0.1_set3.base	0.1_set3.test	threshold	null	0.8	userbased	cosine	centrality1	null	null	0.8758733571071866	1.468383
0.1_set3.base	0.1_set3.test	threshold	null	0.8	userbased	cosine	centrality2	null	null	0.8836145634031185	3.195777
0.1_set3.base	0.1_set3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.2	0.8476686314281668	0.144958
0.1_set3.base	0.1_set3.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_1	0.2	0.847782145008543	0.144409
0.1_set3.base	0.1_set3.test	socialthreshold	null	null	socialuser	cosine	centrality1	friends_1	0.2	0.8476686888962321	0.386791
0.1_set3.base	0.1_set3.test	socialthreshold	null	null	socialuser	cosine	centrality2	friends_1	0.2	0.847965836883484	2.112929
0.1_set3.base	0.1_set3.test	socialthreshold	null	null	socialuser	cosine	adjweighted	friends_1	0.5	0.8476686314281668	0.134384
0.1_set3.base	0.1_set3.test	socialthreshold	null	null	socialuser	cosine	centrality0	friends_1	0.5	0.847782145008543	0.150347
